Altamirano,2601,22083.8891,2374,15804.7922,227,6279.0969
Amatan,3498,19813.2379,3313,19172.4255,185,640.8124
Amatenango de la Frontera,4874,14972.6892,4384,12924.6739,490,2048.0153
Amatenango del Valle,1302,2996.9351,1230,2615.6488,72,381.2863
Angel Albino Corzo,2924,31036.3945,2399,23695.1109,525,7341.2836
Arriaga,1799,47128.3282,1468,32649.8211,331,14478.5071
Bejucal de Ocampo,922,2764.8922,816,2580.2056,106,184.6866
Bella Vista,2852,12920.9811,2696,10489.6307,156,2431.3504
Berriozabal,2584,29865.6207,2103,15966.1142,481,13899.5065
Bochil,3995,36801.3985,3631,26899.6325,364,9901.766
El Bosque,2863,8452.247,2784,8337.7655,79,114.4815
Cacahoatan,5223,12393.5948,4802,10904.2517,421,1489.3431
Catazaja,2914,49402.6789,1771,25937.5733,1143,23465.1056
Cintalapa,6364,181249.1726,5317,123091.5891,1047,58157.5835
Coapilla,1473,11220.4395,1341,10388.0106,132,832.4289
Comitan de Dominguez,9158,56514.5837,7931,45530.6085,1227,10983.9752
La Concordia,7276,147134.5116,6201,92513.9883,1075,54620.5233
Copainala,3054,26414.5842,2769,23176.3479,285,3238.2363
Chalchihuitan,2471,7785.2146,2389,7534.6756,82,250.539
Chamula,15244,26937.9095,14436,25730.2391,808,1207.6704
Chanal,1441,6133.9808,1393,5293.2076,48,840.7732
Chapultenango,1278,12674.2344,1215,11800.4475,63,873.7869
Chenalho,6354,13749.9219,5677,11960.1174,677,1789.8045
Chiapa de Corzo,7004,56094.6683,5078,39576.1434,1926,16518.5249
Chiapilla,844,3801.7868,807,3492.352,37,309.4348
Chicoasen,697,6701.2828,456,5129.3037,241,1571.9791
Chicomuselo,4569,47540.9044,3883,34890.2364,686,12650.668
Chilon,15887,73856.4023,15218,70466.1966,669,3390.2057
Escuintla,3081,23683.3509,2815,20904.166,266,2779.1849
Francisco Leon,1157,15770.3649,1052,14570.0002,105,1200.3647
Frontera Comalapa,5191,40550.5484,4681,32855.6967,510,7694.8517
Frontera Hidalgo,1139,7290.8009,991,5593.9806,148,1696.8203
La Grandeza,1152,3455.6806,961,2924.9042,191,530.7764
Huehuetan,3312,23443.4948,2817,17182.5004,495,6260.9944
Huixtan,3093,8651.8896,2803,8073.428,290,578.4616
Huitiupan,3884,22529.6088,3719,21652.3312,165,877.2776
Huixtla,3339,27026.8651,2802,21441.1374,537,5585.7277
La Independencia,7378,22030.4352,7274,21286.1079,104,744.3273
Ixhuatan,1560,7727.6709,1310,6132.4227,250,1595.2482
Ixtacomitan,874,10825.3615,756,7214.2159,118,3611.1456
Ixtapa,4088,21269.8639,3691,19792.7544,397,1477.1095
Ixtapangajoya,600,8643.781,507,5950.8707,93,2692.9103
Jiquipilas,5638,86304.435,4723,67897.1719,915,18407.2631
Jitotol,3066,15139.293,2646,13241.2577,420,1898.0353
Juarez,1764,65623.0655,1244,33202.2174,520,32420.8481
Larrainzar,3109,4370.318,2693,4045.6614,416,324.6566
La Libertad,863,33091.1209,693,22146.2487,170,10944.8722
Mapastepec,3887,73936.2418,3110,50748.6037,777,23187.6381
Las Margaritas,14077,59191.2177,13417,55959.8508,660,3231.3669
Mazapa de Madero,1242,4003.0562,933,2154.9846,309,1848.0716
Mazatan,3199,23840.7089,2468,17096.4399,731,6744.269
Metapa,432,3612.4043,397,1602.5127,35,2009.8916
Mitontic,2452,3521.1441,2156,3144.9761,296,376.168
Motozintla,7546,35005.2636,4998,22323.3867,2548,12681.8769
Nicolas Ruiz,583,2465.1262,421,1718.2178,162,746.9084
Ocosingo,18971,220928.0051,17260,189898.0291,1711,31029.976
Ocotepec,1786,7553.7868,1672,7373.8856,114,179.9012
Ocozocoautla de Espinosa,7768,117816.0186,6629,82569.5105,1139,35246.5081
Ostuacan,1645,30995.819,1511,26133.938,134,4861.881
Osumacinta,363,6230.7936,339,5352.5496,24,878.244
Oxchuc,7403,15466.2317,6645,14393.4848,758,1072.7469
Palenque,10111,190264.1492,8406,138246.7969,1705,52017.3523
Pantelho,2709,8605.1523,2609,8106.9082,100,498.2441
Pantepec,1858,7726.701,1740,7057.3256,118,669.3754
Pichucalco,1987,52489.8425,1476,29561.8108,511,22928.0317
Pijijiapan,3928,81575.282,3346,66097.9803,582,15477.3017
El Porvenir,2100,6391.3048,1370,3788.4121,730,2602.8927
Villa Comaltitlan,4075,32415.4461,3500,24741.7842,575,7673.6619
Pueblo Nuevo Solistahuacan,3937,16630.7006,3770,16047.7543,167,582.9463
Rayon,1165,4598.1681,1081,3720.9698,84,877.1983
Reforma,1415,36701.2689,978,18355.0928,437,18346.1761
Las Rosas,3045,14995.9395,2891,11059.4543,154,3936.4852
Sabanilla,4583,20103.1329,4474,19532.026,109,571.1069
Salto de Agua,7624,85231.3922,6770,74641.8327,854,10589.5595
San Cristobal de las Casas,3910,10550.1582,3719,9400.9099,191,1149.2483
San Fernando,2379,20939.4086,2088,15469.0876,291,5470.321
Siltepec,5251,27039.0383,4972,24368.3431,279,2670.6952
Simojovel,4865,22135.8286,4609,20604.0856,256,1531.743
Sitala,1832,5123.6728,1825,5109.1728,7,14.5
Socoltenango,4301,25956.3741,3473,18752.7803,828,7203.5938
Solosuchiapa,929,12078.4145,778,6331.7724,151,5746.6421
Soyalo,1676,8890.0815,1613,8343.1714,63,546.9101
Suchiapa,1581,19359.5484,1235,14307.4675,346,5052.0809
Suchiate,1799,15709.3598,1535,11113.5,264,4595.8598
Sunuapa,260,5511.6998,203,3221.7854,57,2289.9144
Tapachula,11540,72731.2798,10164,56764.5582,1376,15966.7216
Tapalapa,563,4253.2394,540,4168.6328,23,84.6066
Tapilula,1008,3799.5729,933,3325.7608,75,473.8121
Tecpatan,5272,79985.805,4495,67619.1826,777,12366.6224
Tenejapa,6835,10903.1881,6345,10142.7447,490,760.4434
Teopisca,3077,9691.8444,2909,8741.9885,168,949.8559
Tila,11682,49092.4154,11027,41270.1284,655,7822.287
Tonala,4538,96807.0012,3622,68524.3956,916,28282.6056
Totolapa,1651,11846.4262,1396,8271.8652,255,3574.561
La Trinitaria,13476,97783.9361,12378,84237.5746,1098,13546.3615
Tumbala,5155,27450.2327,4985,26202.416,170,1247.8167
Tuxtla Gutierrez,1331,12828.0606,1069,8817.1922,262,4010.8684
Tuxtla Chico,4304,14025.8813,3590,10491.46,714,3534.4213
Tuzantan,3225,14515.9814,2552,11136.198,673,3379.7834
Tzimol,2587,25011.1923,2220,12085.1539,367,12926.0384
Union Juarez,2220,8960.1478,1827,6502.0054,393,2458.1424
